HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
D:\dfirmadness\DC01-E01\tout\F\Users\Administrator\AppData\Local\Microsoft\Windows\UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-2232410529-1445159330-2725690660-500_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,LangID,RegBinary,(Binary data),,,Displays new applications that have been executed within Windows,False,False,2020-09-18 22:29:54.0015543,
D:\dfirmadness\DC01-E01\tout\F\Users\Administrator\AppData\Local\Microsoft\Windows\UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-2232410529-1445159330-2725690660-500_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Windows\system32\NOTEPAD.EXE.FriendlyAppName,RegSz,Notepad,,,Displays new applications that have been executed within Windows,False,False,2020-09-18 22:29:54.0015543,
D:\dfirmadness\DC01-E01\tout\F\Users\Administrator\AppData\Local\Microsoft\Windows\UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-2232410529-1445159330-2725690660-500_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Windows\system32\NOTEPAD.EXE.ApplicationCompany,RegSz,Microsoft Corporation,,,Displays new applications that have been executed within Windows,False,False,2020-09-18 22:29:54.0015543,
D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM,System,Windows Boot Volume,System Info,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Setup,SystemPartition,RegSz,\Device\HarddiskVolume1,,,Identifies the system volume where Windows booted from,False,False,2020-09-17 17:59:24.1500299,
D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM,System,ControlSet Configuration,System Info,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Select,Current,RegDword,1,,,Displays value for the current ControlSet,False,False,2020-09-17 17:56:13.0562853,
D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM,System,ControlSet Configuration,System Info,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Select,Default,RegDword,1,,,Displays value for the default ControlSet,False,False,2020-09-17 17:56:13.0562853,
D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM,System,ControlSet Configuration,System Info,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Select,Failed,RegDword,0,,,Displays value for the ControlSet that was unable to boot Windows successfully,False,False,2020-09-17 17:56:13.0562853,
D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM,System,ControlSet Configuration,System Info,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Select,LastKnownGood,RegDword,2,,,Displays value for the last known good ControlSet,False,False,2020-09-17 17:56:13.0562853,
D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM,System,Shutdown Time,System Info,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Windows,ShutdownTime,RegBinary,2020-09-18 23:10:53.6903314,,,Last system shutdown time,False,False,2020-09-18 23:10:53.6903314,
D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM,System,Shutdown Time,System Info,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Windows,ShutdownTime,RegBinary,2020-09-18 23:10:53.6903314,,,Last system shutdown time,False,False,2020-09-18 23:10:53.6903314,
