HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,Uninstall DisplayName,Installed Software,ROOT\Software\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe,DisplayName,RegSz,Microsoft OneDrive,,,,False,False,2018-04-04 05:59:40.7208613,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,Uninstall Publisher,Installed Software,ROOT\Software\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe,Publisher,RegSz,Microsoft Corporation,,,,False,False,2018-04-04 05:59:40.7208613,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00006109C80000000000000000F01FEC\InstallProperties,DisplayName,RegSz,Office 16 Click-to-Run Extensibility Component,,,,False,False,2018-03-27 09:47:33.6705134,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00006109C80090400000000000F01FEC\InstallProperties,DisplayName,RegSz,Office 16 Click-to-Run Localization Component,,,,False,False,2018-03-27 09:47:29.2387735,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00006109DD0000000100000000F01FEC\InstallProperties,DisplayName,RegSz,Office 16 Click-to-Run Extensibility Component 64-bit Registration,,,,False,False,2018-03-27 09:47:34.0458450,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00006109F80000000100000000F01FEC\InstallProperties,DisplayName,RegSz,Office 16 Click-to-Run Licensing Component,,,,False,False,2018-03-27 09:45:23.6219942,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\5A812990327ACD34D85B163756A6E149\InstallProperties,DisplayName,RegSz,Dropbox Update Helper,,,,False,False,2018-03-28 00:03:24.2341338,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\7C7727B4EEC9CF543BB691DA8282B1C9\InstallProperties,DisplayName,RegSz,Backup and Sync from Google,,,,False,False,2018-03-27 23:46:40.0084358,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\A089CE062ADB6BC44A720BA745894BAC\InstallProperties,DisplayName,RegSz,Google Update Helper,,,,False,False,2018-03-27 09:34:39.4844283,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\CD687F9CDBE023245AA01F48BF5209E8\InstallProperties,DisplayName,RegSz,Box Sync,,,,False,False,2018-03-29 20:23:17.8372213,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00006109C80000000000000000F01FEC\InstallProperties,InstallDate,RegSz,20180327,,,,False,False,2018-03-27 09:47:33.6705134,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00006109C80090400000000000F01FEC\InstallProperties,InstallDate,RegSz,20180327,,,,False,False,2018-03-27 09:47:29.2387735,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00006109DD0000000100000000F01FEC\InstallProperties,InstallDate,RegSz,20180327,,,,False,False,2018-03-27 09:47:34.0458450,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00006109F80000000100000000F01FEC\InstallProperties,InstallDate,RegSz,20180327,,,,False,False,2018-03-27 09:45:23.6219942,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\5A812990327ACD34D85B163756A6E149\InstallProperties,InstallDate,RegSz,20180327,,,,False,False,2018-03-28 00:03:24.2341338,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\7C7727B4EEC9CF543BB691DA8282B1C9\InstallProperties,InstallDate,RegSz,20180327,,,,False,False,2018-03-27 23:46:40.0084358,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\A089CE062ADB6BC44A720BA745894BAC\InstallProperties,InstallDate,RegSz,20180327,,,,False,False,2018-03-27 09:34:39.4844283,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\CD687F9CDBE023245AA01F48BF5209E8\InstallProperties,InstallDate,RegSz,20180329,,,,False,False,2018-03-29 20:23:17.8372213,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00006109C80000000000000000F01FEC\InstallProperties,Publisher,RegSz,Microsoft Corporation,,,,False,False,2018-03-27 09:47:33.6705134,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00006109C80090400000000000F01FEC\InstallProperties,Publisher,RegSz,Microsoft Corporation,,,,False,False,2018-03-27 09:47:29.2387735,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00006109DD0000000100000000F01FEC\InstallProperties,Publisher,RegSz,Microsoft Corporation,,,,False,False,2018-03-27 09:47:34.0458450,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00006109F80000000100000000F01FEC\InstallProperties,Publisher,RegSz,Microsoft Corporation,,,,False,False,2018-03-27 09:45:23.6219942,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\5A812990327ACD34D85B163756A6E149\InstallProperties,Publisher,RegSz,"Dropbox, Inc.",,,,False,False,2018-03-28 00:03:24.2341338,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\7C7727B4EEC9CF543BB691DA8282B1C9\InstallProperties,Publisher,RegSz,"Google, Inc.",,,,False,False,2018-03-27 23:46:40.0084358,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\A089CE062ADB6BC44A720BA745894BAC\InstallProperties,Publisher,RegSz,Google Inc.,,,,False,False,2018-03-27 09:34:39.4844283,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,User Products InstallProperties,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\CD687F9CDBE023245AA01F48BF5209E8\InstallProperties,Publisher,RegSz,"Box, Inc.",,,,False,False,2018-03-29 20:23:17.8372213,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Uninstall DisplayName,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\O365ProPlusRetail - en-us,DisplayName,RegSz,Microsoft Office 365 ProPlus - en-us,,,,False,False,2018-03-27 09:45:17.2780274,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Uninstall DisplayName,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\S3 Browser_is1,DisplayName,RegSz,S3 Browser version 7.6.9,,,,False,False,2018-03-27 23:57:19.1651146,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Uninstall DisplayName,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\VulkanRT1.0.26.0,DisplayName,RegSz,Vulkan Run Time Libraries 1.0.26.0,,,,False,False,2018-03-27 09:21:06.3805731,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Uninstall DisplayName,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{4B7277C7-9CEE-45FC-B36B-19AD28281B9C},DisplayName,RegSz,Backup and Sync from Google,,,,False,False,2018-03-27 23:46:40.0084358,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Uninstall DisplayName,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-008F-0000-1000-0000000FF1CE},DisplayName,RegSz,Office 16 Click-to-Run Licensing Component,,,,False,False,2018-03-27 09:45:23.6219942,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Uninstall DisplayName,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-00DD-0000-1000-0000000FF1CE},DisplayName,RegSz,Office 16 Click-to-Run Extensibility Component 64-bit Registration,,,,False,False,2018-03-27 09:47:34.0458450,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Uninstall DisplayName,Installed Software,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{9F72EF8B-AEC9-4CA5-B483-143980AFD6FD},DisplayName,RegSz,Dell Touchpad,,,,False,False,2018-03-27 09:17:25.1269485,
