HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\Default\NTUSER.DAT,NtUser,Environment,User Activity,ROOT\Environment,Path,RegExpandSz,%USERPROFILE%\AppData\Local\Microsoft\WindowsApps;,,,,False,False,2017-09-29 13:47:49.1535267,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\Default\NTUSER.DAT,NtUser,Environment,User Activity,ROOT\Environment,TEMP,RegExpandSz,%USERPROFILE%\AppData\Local\Temp,,,,False,False,2017-09-29 13:47:49.1535267,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\Default\NTUSER.DAT,NtUser,Environment,User Activity,ROOT\Environment,TMP,RegExpandSz,%USERPROFILE%\AppData\Local\Temp,,,,False,False,2017-09-29 13:47:49.1535267,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\Default\NTUSER.DAT,NtUser,IE TypedURLs,User Activity,ROOT\Software\Microsoft\Internet Explorer\TypedURLs,url1,(plugin),http://go.microsoft.com/fwlink/p/?LinkId=255141,"Timestamp:  ",Slack: ሀ,See profile output.,False,False,2017-09-29 13:47:49.1535267,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20210117153057_TypedURLs_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_Default_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,Environment,User Activity,ROOT\Environment,Path,RegExpandSz,%USERPROFILE%\AppData\Local\Microsoft\WindowsApps;,,,,False,False,2018-03-27 09:21:44.2476275,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,Environment,User Activity,ROOT\Environment,TEMP,RegExpandSz,%USERPROFILE%\AppData\Local\Temp,,,,False,False,2018-03-27 09:21:44.2476275,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,Environment,User Activity,ROOT\Environment,TMP,RegExpandSz,%USERPROFILE%\AppData\Local\Temp,,,,False,False,2018-03-27 09:21:44.2476275,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,Environment,User Activity,ROOT\Environment,OneDrive,RegSz,C:\Users\jcloudy\OneDrive,,,,False,False,2018-03-27 09:21:44.2476275,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,IE TypedURLs,User Activity,ROOT\Software\Microsoft\Internet Explorer\TypedURLs,url1,(plugin),http://go.microsoft.com/fwlink/p/?LinkId=255141,"Timestamp:  ",Slack: ሀ,See profile output.,False,False,2018-03-27 09:56:47.2903807,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20210117153057_TypedURLs_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,Office MRU,User Activity,ROOT\Software\Microsoft\Office\16.0\Excel\User MRU\LiveId_2709CD201D69E509465D3C60D830CE2490A74738D87E3C8A95FEFEA94316F09F\File MRU,Item 1,(plugin),File name: C:\Users\jcloudy\Downloads\rootkey.csv,Last opened: 2018-04-06 12:27:08.3590000),Last closed: ),,False,False,2018-04-06 12:27:08.3661737,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20210117153057_OfficeMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,Office MRU,User Activity,ROOT\Software\Microsoft\Office\16.0\Excel\User MRU\LiveId_2709CD201D69E509465D3C60D830CE2490A74738D87E3C8A95FEFEA94316F09F\Place MRU,Item 1,RegSz,[F00000000][T01D3CDA2947FB5F0][O00000000]*C:\Users\jcloudy\Downloads\,,,,False,False,2018-04-06 12:27:08.3681736,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,ComDlg32 CIDSizeMRU,User Activity,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,0,(plugin),chrome.exe,Opened: 2018-04-06 03:56:32.0078879),Mru: 0,,False,False,2018-04-06 03:56:32.0078879,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20210117153057_CIDSizeMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
